"","stratum","term","df","sumsq","meansq","statistic","p.value"
"1","replicate:treatment","replicate",3,2548508.24278821,849502.747596069,1.26119021442977,0.426627868120102
"2","replicate:treatment","treatment",1,18508.5127697644,18508.5127697644,0.0274781397175357,0.878883052270027
"3","replicate:treatment","Residuals",3,2020716.79087717,673572.263625723,NA,NA
"4","replicate:PFT","PFT",1,56444.342750366,56444.342750366,0.0350440246109797,0.863448464835068
"5","replicate:PFT","Residuals",3,4832008.59863693,1610669.53287898,NA,NA
"6","replicate:treatment:PFT","PFT:treatment",1,934522.543069187,934522.543069187,2.14064156160166,0.239632026390858
"7","replicate:treatment:PFT","Residuals",3,1309685.69399815,436561.897999384,NA,NA
"8","Within","severity",3,577586.020845119,192528.67361504,0.389878682819143,0.760878061783474
"9","Within","severity:PFT",3,2710208.43597012,903402.811990041,1.82942878990609,0.156489689456815
"10","Within","Residuals",42,20740308.8400775,493816.877144703,NA,NA
