"","stratum","term","df","sumsq","meansq","statistic","p.value"
"1","replicate:week","replicate",3,4123.6823409193,1374.56078030643,6.5014772930665,0.000949357603033684
"2","replicate:week","week",15,70168.2511428299,4677.88340952199,22.1257242330453,6.84285229750948e-16
"3","replicate:week","Residuals",45,9514.02770871092,211.422837971354,NA,NA
"4","replicate:treatment","treatment",1,16.951243581997,16.951243581997,0.0172312982849586,0.903871782024822
"5","replicate:treatment","Residuals",3,2951.24197289195,983.747324297316,NA,NA
"6","replicate:week:treatment","week:treatment",15,1035.01719339303,69.0011462262023,1.09087264047651,0.391095826948492
"7","replicate:week:treatment","Residuals",45,2846.39238804519,63.2531641787821,NA,NA
"8","Within","severity",3,962.089830407079,320.696610135693,4.23520333573948,0.00588063668835656
"9","Within","week:severity",45,7705.61014826115,171.23578107247,2.26138452442396,2.32446232914819e-05
"10","Within","Residuals",336,25442.4764205043,75.7216560134056,NA,NA
