"","stratum","term","df","sumsq","meansq","statistic","p.value"
"1","replicate:treatment","replicate",3,2007145.08522759,669048.361742531,1.11449865049322,0.465544330155576
"2","replicate:treatment","treatment",1,14387.2066164608,14387.2066164608,0.023966163397592,0.886800062046248
"3","replicate:treatment","Residuals",3,1800939.89736043,600313.299120142,NA,NA
"4","replicate:fate","fate",1,1139523.42296742,1139523.42296742,2.05315471204029,0.247326621073347
"5","replicate:fate","Residuals",3,1665032.96067012,555010.98689004,NA,NA
"6","replicate:treatment:fate","fate:treatment",1,2560242.9814059,2560242.9814059,8.38522338943243,0.0627199624123298
"7","replicate:treatment:fate","Residuals",3,915983.81909508,305327.93969836,NA,NA
"8","Within","severity",3,591929.35467827,197309.784892757,0.604547963764912,0.615711316653297
"9","Within","severity:fate",3,36073959.2378803,12024653.0792934,36.8429753142627,7.81275239520946e-12
"10","Within","Residuals",42,13707780.7919279,326375.73314114,NA,NA
